職缺更新時間,職缺名稱,工作待遇,公司名稱,員工人數,工作經歷,擅長工具,產業類別,上班地點,工作待遇範圍,企業規模
10/24,【台中】 JAVA 軟體開發工程師 - 金融行銷資訊,40000,一騰資訊服務股份有限公司,60,2年以上,Git、Java、JSP、Spring、Struts、MS SQL、HTML、JavaScript、jQuery、CSS,電腦軟體服務業,台中,"(30000, 40000]",中型企業
10/27,Senior Software Engineer,40000,Worldline_台灣源訊環球科技股份有限公司,50,不拘,Java,電腦系統整合服務業,雙北,"(30000, 40000]",小型企業
10/16,程式設計師_桃園,48000,易星科技股份有限公司,38,1年以上,Java、HTML、JavaScript、jQuery,電腦系統整合服務業,桃園,"(40000, 50000]",小型企業
09/28,【大安】Java程式設計師(PG),40000,中華系統整合股份有限公司,250,1年以上,Java、JSP、Spring、JavaScript,電腦軟體服務業,雙北,"(30000, 40000]",大型企業
10/25,助理雲端工程師,35000,迪梯西數位科技有限公司,25,不拘,C#、Java、MS SQL、MySQL、JavaScript,電腦軟體服務業,雙北,"(30000, 40000]",小型企業
09/21,JAVA系統分析師/程式設計師,40000,保誠人壽保險股份有限公司_總公司,700,5年以上,不拘,人身保險業,雙北,"(30000, 40000]",大型企業
10/28,Flutter App軟體工程師,40000,工智聯科技股份有限公司,20,1年以上,Java,半導體製造業,雙北,"(30000, 40000]",小型企業
10/23,資深Java網站軟體工程師(儲備幹部),83333,作品科技有限公司,20,其他,Spring、MySQL,其它軟體及網路相關業,雙北,"(80000, 90000]",小型企業
10/11,資訊部 資深應用系統開發全端工程師 Senior Application Developer-Full End,40000,法商法國巴黎人壽保險股份有限公司台灣分公司,400,5年以上,Java、MS SQL、JavaScript、Node.js、Angular,人身保險業,雙北,"(30000, 40000]",大型企業
10/18,資深軟體開發工程師Senior Software Engineer,40000,偉康科技股份有限公司,180,3年以上,Java、Spring、JavaScript、Angular,電腦軟體服務業,雙北,"(30000, 40000]",中型企業
10/25,資訊系統工程師(ITD),45000,捷創科技股份有限公司,200,2年以上,Linux、Git、Java、J2EE,半導體製造業,新竹,"(40000, 50000]",中型企業
10/02,JAVA後端程式設計師 丨Backend Engineer,40000,永聯物流開發股份有限公司,120,1年以上,Github、Java、Spring、ANSI SQL、JavaScript,其他不動產業,雙北,"(30000, 40000]",中型企業
10/11,JAVA程式設計師(台北-1A),33000,康大資訊股份有限公司,160,不拘,不拘,電腦系統整合服務業,雙北,"(30000, 40000]",中型企業
10/24,Senior Android Engineer,40000,汎神國際有限公司,20,3年以上,Android、Github、Git、Java、Kotlin、Flutter,電腦系統整合服務業,雙北,"(30000, 40000]",小型企業
10/18,D4000 Java軟體開發工程師【台中】,40000,富邦媒體科技股份有限公司(富邦momo),2900,2年以上,Linux、OOAD、Git、Java、Spring、Oracle、PL/SQL、PostgreSQL、Tomcat、jQuery、ReactJS,百貨相關業,雙北,"(30000, 40000]",大型企業
09/12,元大銀行-數位創新開發部-Java後端開發工程師,40000,元大金融控股股份有限公司(元大金控) (元大證券) (元大銀行),14000,2年以上,不拘,金融控股業,雙北,"(30000, 40000]",大型企業
10/20,I150 MyVideo影音平台JAVA開發工程師(可遠端工作),34000,台灣大哥大股份有限公司,3500,1年以上,不拘,電信相關業,雙北,"(30000, 40000]",大型企業
09/28,軟體工程師(新竹)【BU2-BTB02】,30000,敦陽科技股份有限公司,609,1年以上,C#、Java,電腦系統整合服務業,雙北,"(0, 30000]",大型企業
10/17,Android APP工程師,80000,天譽軟體有限公司,15,3年以上,Kotlin、Android、Java、Git,電腦系統整合服務業,雙北,"(70000, 80000]",小型企業
08/31,應用工程師FAE,40000,弘訊科技股份有限公司,110,1年以上,Linux、Java、JavaScript,自動控制相關業,雙北,"(30000, 40000]",中型企業
10/16,資訊助理工程師,32000,泰博科技股份有限公司,1100,2年以上,Java、ANSI SQL、HTML、JavaScript、CSS,醫療器材製造業,雙北,"(30000, 40000]",大型企業
10/18,T-【2023軟體技術人才招募】Java SD / PG_人才招募,40000,緯創軟體股份有限公司,8600,不拘,Spring、J2EE、JavaScript,電腦軟體服務業,雙北,"(30000, 40000]",大型企業
10/24,Android APP工程師,40000,展睿資訊股份有限公司,15,5年以上,Android、Java、JavaScript、ReactNative,電腦軟體服務業,雙北,"(30000, 40000]",小型企業
10/23,Senior Full-stack Engineer- Taoyuan,40000,美商科磊股份有限公司台灣分公司_KLA Taiwan,1600,3年以上,C#、Java、Python、MySQL、PostgreSQL、ReactJS、VueJS、Angular,半導體製造業,桃園,"(30000, 40000]",大型企業
10/18,［UPD］Android軟體開發工程師 / Android Engineer (Java / Kotlin),40000,91APP_九易宇軒股份有限公司,500,2年以上,不拘,網際網路相關業,雙北,"(30000, 40000]",大型企業
10/13,後端工程師(新北市新莊區),40000,倍特系統整合有限公司,20,不拘,MySQL、Java,電腦系統整合服務業,雙北,"(30000, 40000]",小型企業
10/09,資訊部 資深應用系統開發後端工程師 Senior Application Developer-Back End,40000,法商法國巴黎人壽保險股份有限公司台灣分公司,400,其他,Linux、Git、Java、Spring,人身保險業,雙北,"(30000, 40000]",大型企業
10/25,軟體工程師_12593,40000,和碩集團_和碩聯合科技股份有限公司,6000,2年以上,Java、Angular、MES,電腦及其週邊設備製造業,雙北,"(30000, 40000]",大型企業
10/25,Java資深後端工程師(台北),70833,德安資訊股份有限公司,90,5年以上,C#、Java、Spring,電腦系統整合服務業,雙北,"(70000, 80000]",中型企業
