職缺更新時間,職缺名稱,工作待遇,公司名稱,員工人數,工作經歷,擅長工具,產業類別,上班地點
10/09更新,"Kotlin 工程師",待遇面議,鼎羿科技有限公司,暫不提供,1年以上,Git、MySQL、HTTP、Kotlin、Java、Jenkins、Android、iOS,網際網路相關業,雙北
10/27更新,"Java PG(捷運民權西路站)",待遇面議,康翔科技股份有限公司,30人,3年以上,不拘,其它軟體及網路相關業,雙北
09/28更新,"Senior Android Developer 資深Android工程師","年薪1,400,000~2,000,000元",阿福股份有限公司,60人,5年以上,不拘,多媒體相關業,雙北
10/25更新,科技金融_系統分析師(法金),待遇面議,中國信託商業銀行股份有限公司,25000人,不拘,不拘,銀行業,雙北
09/28更新,"Full Stack Engineer / 全端工程師","年薪800,000~1,000,000元",自由食間_滿食空股份有限公司,30人,不拘,Git、JavaScript、Node.js、ReactJS、Firebase,其它軟體及網路相關業,雙北
10/29更新,"Sr. Backend Engineer",待遇面議,"ULTRON 奧創_薩摩亞商奧創物聯有限公司台灣分公司",暫不提供,5年以上,Github、Git、Go、MySQL,網際網路相關業,雙北
10/10更新,【日本就職@福岡】業務系統工程師_日本知名上市系統軟體公司_BZ#1010,"月薪40,000元以上",貝茲國際管理顧問社,暫不提供,1年以上,Java、Angular,人力仲介代徵,其他
10/27更新,國網中心編制徵才_空間資訊技術研發人員1名(NCHC_112_03_03),待遇面議,財團法人國家實驗研究院,1500人,4年以上,不拘,政府／民意機關,新竹
10/17更新,DevOps工程師(系統開發中心)(上班地點台北),待遇面議,全球人壽保險股份有限公司_總公司,6000人,2年以上,Java、PL/SQL、Excel、PowerPoint、Word,人身保險業,雙北
10/25更新,60026K8_Java工程師(全端),待遇面議,神通資訊科技股份有限公司,1000人,1年以上,Java、Tomcat、JavaScript,電腦系統整合服務業,雙北
10/02更新,"SW-Android Framework Engineer(待優專案主管職)",待遇面議,磐旭智能股份有限公司,暫不提供,5年以上,Android、C、C++、Java、Kotlin,其它軟體及網路相關業,雙北
10/27更新,"【Android 資安工程師】  Android Security Engineer",待遇面議,智鈦星平台服務有限公司,110人,2年以上,Android、C、C++、Java、HTTP、TCP/IP,工商顧問服務業,雙北
10/18更新,"大流量社群平台資深Android軟體工程師 / Senior Android Engineer","年薪800,000~1,800,000元",宇泰華科技股份有限公司,100人,5年以上,Android、Git、Java、Kotlin,電腦軟體服務業,雙北
10/11更新,"【數位驅動】資深自動化測試工程師/技術組長  (數數發中心，DDT)",待遇面議,國泰世華商業銀行股份有限公司_人力資源部,9000人,5年以上,不拘,銀行業,雙北
09/25更新,計畫專任助理-學士級資訊人員(MIS專長),"月薪30,000~35,000元",國立高雄大學_災害防救科技研究中心,15人,不拘,"C++、Python、MS SQL、GIS",大專校院教育事業,高雄
10/27更新,【AI提示設計師】(台北/台中),"月薪45,000元以上",鼎新電腦股份有限公司,1800人,1年以上,不拘,電腦軟體服務業,雙北
10/27更新,自動化測試工程師(可遠端),待遇面議,康翔科技股份有限公司,30人,3年以上,不拘,其它軟體及網路相關業,雙北
06/05更新,"Senior Java 工程師","月薪90,000元以上",新加坡商齊舵管理顧問有限公司台灣分公司,暫不提供,不拘,Java、Spring,工商顧問服務業,雙北
10/09更新,F1000B12-ERP程式設計師,待遇面議,易遊網旅行社股份有限公司,500人,3年以上,"ANSI SQL、MS SQL、Oracle、PL/SQL",旅遊服務業,雙北
10/26更新,"Software QA Engineer 軟體品保工程師(八德/中和)_TC230125",待遇面議,"Super Micro Computer, Inc._美超微電腦股份有限公司",4000人,2年以上,不拘,電腦及其週邊設備製造業,桃園
10/16更新,PHP程式設計師,"月薪40,800~63,800元",華崴醫資股份有限公司,15人,1年以上,"Linux、Windows 7、Windows Server 2008、Windows 8、Windows Server 2012、AJAX、Java、PHP、MS SQL、MySQL、HTML、JavaScript、jQuery、Excel、Internet Explorer、Outlook、Word",電腦系統整合服務業,雙北
10/25更新,T049TC8_程式開發/資料科學工程師,"月薪40,000元以上",神通資訊科技股份有限公司,1000人,不拘,不拘,電腦系統整合服務業,雙北
10/07更新,"軟體工程師 (220702)",待遇面議,無限創意科技有限公司,暫不提供,3年以上,Java、PL/SQL,電腦軟體服務業,高雄
10/25更新,系統分析師,待遇面議,前進國際股份有限公司,80人,2年以上,"Git、Spring、MS SQL、MySQL、Oracle、JavaScript、CSS、VueJS",電腦軟體服務業,雙北
10/17更新,Java後端開發資深工程師_資訊處(台北),待遇面議,"台達電子工業股份有限公司 _DELTA ELECTRONICS INC.",88000人,5年以上,不拘,其他電子零組件相關業,雙北
08/01更新,"SAP  ERP研發工程師(台北/台中/高雄)","月薪30,000~50,000元",大綜電腦系統股份有限公司,280人,3年以上,"ASP、ASP.NET、C++.Net、Java、Visual Basic、Visual Basic .net、Visual C#、Visual Studio、Visual Studio .net、WinForm、Objective-C、SWIFT、MS SQL、HTML、JavaScript、VBScript、jQuery、CSS",電腦系統整合服務業,台中
10/24更新,軟體工程師,"月薪40,000~100,000元",覺揚股份有限公司,36人,不拘,不拘,數位內容產業,花蓮
10/23更新,資安工程師_0371,待遇面議,遊戲橘子數位科技股份有限公司,1000人,2年以上,不拘,其它軟體及網路相關業,雙北
10/24更新,【資訊科技】數位平台Java系統分析師,待遇面議,遠東國際商業銀行股份有限公司,2511人,10年以上,Servlets、Java、JSF、JSP、Spring、WebSphere、jQuery,銀行業,雙北
10/26更新,"Node.js軟體開發工程師 - 金融數位轉型計畫",待遇面議,一騰資訊服務股份有限公司,60人,2年以上,"Linux、Git、Java、Spring、MS SQL、JavaScript、jQuery、Node.js",電腦軟體服務業,雙北
10/20更新,軟體工程師,待遇面議,創未來科技股份有限公司,暫不提供,1年以上,不拘,消費性電子產品製造業,新竹
10/23更新,ETL軟體工程師,"月薪35,000~55,000元",干城數碼有限公司,暫不提供,1年以上,"ASP.NET、Java、Python、ETL、Informatica、MS SQL",電腦軟體服務業,雙北
10/18更新,"IT Department Android程式設計師","月薪40,000~60,000元",華藝數位股份有限公司,160人,2年以上,不拘,網際網路相關業,雙北
10/25更新,"Android APP軟體開發工程師(新竹)-B50R",待遇面議,精誠資訊股份有限公司,4200人,1年以上,Android,電腦系統整合服務業,新竹
10/25更新,【資訊科技】DEVOPS與雲端架構師,待遇面議,富邦人壽保險股份有限公司(總公司),24000人,10年以上,不拘,人身保險業,雙北
10/11更新,【數位驅動】數位雲中台發佈管理工程師,待遇面議,國泰世華商業銀行股份有限公司_人力資源部,9000人,1年以上,不拘,銀行業,雙北
10/26更新,"(Senior) Android Automation Test Engineer 自動化測試工程師 - 板橋 - TS05G",待遇面議,"Tata Consultancy Services Limited Taiwan Branch_印度商塔塔顧問服務有限公司台灣分公司",250人,3年以上,Linux、Java、Python,電腦軟體服務業,雙北
10/25更新,前端軟體設計工程師,"月薪80,000元以上",フォワードソフト株式会社,200人,1年以上,"Linux、Github、Git、Java、PHP、Python、Ruby、Spring、Rails、Go、MS SQL、MySQL、Oracle、PL/SQL、AWS、JavaScript、jQuery、CSS、Node.js、ReactJS、AngularJS、VueJS、Angular、Adobe Photoshop、Illustrator",網際網路相關業,台東
10/09更新,Java後端工程師（台中）,"月薪38,000元以上",精誠隨想行動科技股份有限公司,99人,不拘,不拘,其它軟體及網路相關業,台中
10/25更新,"SW-Android Driver (Senior)Engineer(待優)",待遇面議,磐旭智能股份有限公司,暫不提供,不拘,Android、C、C++、Java,其它軟體及網路相關業,雙北
10/20更新,Java軟體工程師(高雄),"月薪31,000~45,000元",景佳科技有限公司,40人,1年以上,Linux、Servlets、Java、JSP、HTML、JavaScript、CSS,電腦軟體服務業,高雄
10/19更新,"資訊部人員 (.NET平台開發工程師)",待遇面議,玉山綜合證券股份有限公司,560人,2年以上,不拘,證券及期貨業,雙北
10/26更新,"Senior Software Engineer (Android Framework & APP)",待遇面議,美商齊闊有限公司台灣分公司,30人,5年以上,Linux、Shell、Android、iOS、C、C++、Java、Kotlin、ARM,其他電子零組件相關業,雙北
10/25更新,JAVA工程師/技術主任．系統整合一部系統建置處,"月薪33,000~60,000元",三商電腦股份有限公司,803人,不拘,"Windows 2003、iOS、Windows 10、ASP.NET、C#、Java、JSP、MS SQL、Oracle",電腦軟體服務業,雙北
10/25更新,"(資深)後端工程師(AWS) // (Senior) Backend Programmer (AWS)",待遇面議,香港商泥巴娛樂有限公司台灣分公司,200人,3年以上,C、C++、AWS、Node.js,網際網路相關業,雙北
10/05更新,網站後端工程師,待遇面議,精鏡傳媒股份有限公司,300人,不拘,不拘,雜誌╱期刊出版業,雙北
10/11更新,MIS程式設計師,待遇面議,沃亞科技股份有限公司,350人,3年以上,"Java、MS SQL、JavaScript、Excel、Outlook、PowerPoint、Word",其他半導體相關業,新竹
10/24更新,"中階 Golang 工程師",待遇面議,緲思網絡科技有限公司,80人,3年以上,"Linux、Java、Python、Go、MS SQL、HTTP",數位內容產業,高雄
08/07更新,機率工程師,待遇面議,星元資訊有限公司,暫不提供,1年以上,Java,電腦軟體服務業,雙北
10/25更新,"Flutter App 工程師","月薪50,000~80,000元",絕對創新網路有限公司,20人,2年以上,不拘,其它軟體及網路相關業,雙北
10/23更新,"Sr. Frond-End Developer 資深前端工程師","年薪800,000~1,100,000元",雷技資訊科技有限公司,25人,3年以上,HTML、JavaScript、Angular、CSS,網際網路相關業,雙北
10/26更新,"Algorithm Developer 演算法開發工程師  (請提供英文履歷) - Location: Hsinchu",待遇面議,"台灣應用材料股份有限公司 _Applied Materials Taiwan",3700人,不拘,不拘,半導體製造業,新竹
10/27更新,專案系統分析師,待遇面議,艾力特科技有限公司,50人,不拘,不拘,電腦系統整合服務業,雙北
08/21更新,"Deep Learning Algorithm - Computer Vision","年薪1,200,000元以上",矽立科技有限公司,250人,3年以上,C、Python、AWS、Math,IC設計相關業,雙北
10/26更新,【電源軟體】軟韌體研發工程師,"月薪31,000~60,000元",固緯電子實業股份有限公司,390人,不拘,C、C++,其他電子零組件相關業,雙北
10/25更新,科技金融_程式設計師(海外分行核心系統),待遇面議,中國信託商業銀行股份有限公司,25000人,1年以上,Java、JavaScript,銀行業,雙北
06/12更新,"Java 工程師","月薪50,000~100,000元",大智管理顧問有限公司,暫不提供,不拘,不拘,工商顧問服務業,雙北
09/12更新,元大銀行-數位創新開發部-資深APP開發工程師(iOS_Android),待遇面議,"元大金融控股股份有限公司(元大金控) (元大證券) (元大銀行)",14000人,5年以上,不拘,金融控股業,雙北
09/26更新,"I187 系統分析開發工程師(可遠端工作)",待遇面議,台灣大哥大股份有限公司,3500人,2年以上,Java、PostgreSQL、JavaScript、Node.js,電信相關業,雙北
10/25更新,網頁程式設計師-F61M,"月薪35,000~45,000元",精誠資訊股份有限公司,4200人,不拘,"C#、Java、MS SQL、HTML、JavaScript、CSS、VueJS、Angular",電腦系統整合服務業,雙北
10/25更新,【數位技術】網路系統工程師-新竹廠-R08,待遇面議,友達光電股份有限公司,38000人,1年以上,"Visual Basic、Vmware、VM",光學器材製造業,新竹
10/03更新,"Full Stack Web Developer (可視訊面試及彈性WFH)",待遇面議,QUID_美商網基股份有限公司台灣分公司,暫不提供,1年以上,Linux、Git、Java、Python、Spring、MySQL、JavaScript、Node.js,電腦軟體服務業,雙北
09/22更新,"Low Code平台應用測試工程師(台北)","月薪40,000~50,000元",德鴻科技股份有限公司,99人,1年以上,"Linux、Java、MS SQL、JavaScript、XML、Excel、Word",電腦軟體服務業,雙北
09/26更新,資訊處-解決方案架構師,待遇面議,永豐商業銀行股份有限公司,暫不提供,5年以上,Linux、OOAD、UML、C#、Java、Python、hadoop,銀行業,雙北
10/24更新,"Android 資深軟體工程師",待遇面議,華碩雲端股份有限公司,暫不提供,3年以上,不拘,網際網路相關業,雙北
10/18更新,"D4000 JAVA資料工程師 【台中】",待遇面議,富邦媒體科技股份有限公司(富邦momo),2900人,1年以上,不拘,百貨相關業,雙北
10/27更新,C-軟體架構師(台北),待遇面議,鼎新電腦股份有限公司,1800人,3年以上,ASP.NET、C#、Java、Python、JavaScript,電腦軟體服務業,雙北
10/05更新,java工程師(台北市士林區_H)-資訊相關科系畢-無經驗可,"月薪38,000~45,000元",九六八數位資訊股份有限公司,90人,不拘,Java、JSP、Oracle、HTML、JavaScript、CSS,電腦系統整合服務業,雙北
10/23更新,"Cocos2d-x開發工程師 (應屆畢業生可)","月薪32,000~50,000元",天旭國際科技有限公司,暫不提供,不拘,不拘,網際網路相關業,雙北
10/26更新,"(資深)軟體測試工程師 (Sr.) Software QA Engineer_台北",待遇面議,昕力資訊股份有限公司,600人,1年以上,不拘,電腦軟體服務業,雙北
10/23更新,"【北】 QA Engineer｜測試工程師",待遇面議,大門科技顧問有限公司,50人,2年以上,不拘,電腦軟體服務業,雙北
10/27更新,"資深前端工程師   Sr. Frontend Engineer-Angular",待遇面議,坤侑科技股份有限公司,93人,3年以上,MySQL、HTML、JavaScript、jQuery、CSS、Sass、Angular,電腦軟體服務業,雙北
10/27更新,程式設計師,"月薪32,000~39,000元",會通資訊股份有限公司,60人,不拘,不拘,電腦軟體服務業,雙北
10/02更新,"〔資訊〕Java程式設計師 (財富管理/高資產客戶管理相關系統)",待遇面議,台新金控_台新國際商業銀行股份有限公司,10000人,2年以上,"Java、MS SQL、Oracle",銀行業,雙北
08/04更新,"AD30068 Sr. Software Engineer",待遇面議,華碩電腦股份有限公司,暫不提供,5年以上,不拘,電腦及其週邊設備製造業,雙北
10/02更新,"BMC/Embedded Linux/RTOS 資深軟韌體工程師 - 台北",待遇面議,系微股份有限公司,600人,3年以上,不拘,電腦軟體服務業,雙北
10/18更新,專案管理經理(台北),"月薪32,000元以上",杰悉科技股份有限公司,暫不提供,3年以上,Excel、PowerPoint、Word,數位內容產業,雙北
10/23更新,NQ-MES工程師,"月薪35,000元以上",鴻佰科技股份有限公司,2000人,2年以上,不拘,電腦及其週邊設備製造業,桃園
10/10更新,"[SW-501] Android工程師(台南)",待遇面議,虹堡科技股份有限公司,500人,不拘,C、C++、Java,電腦及其週邊設備製造業,台南
10/13更新,【汐止】資深Java程式設計師(百萬年薪),"年薪1,000,000~1,300,000元",新逸資訊科技有限公司,40人,不拘,不拘,其它軟體及網路相關業,雙北
07/11更新,系統分析師,"月薪38,000~48,000元",嘉誠資訊股份有限公司,78人,1年以上,"Linux、UNIX、Windows 2000、Windows NT、Java、JSP、MS SQL、DHTML、JavaScript、VBScript、XML",電腦軟體服務業,雙北
10/20更新,程式開發副理,"月薪45,000元以上",騰達保險經紀人股份有限公司,暫不提供,5年以上,不拘,人身保險業,高雄
10/13更新,總部研發-嵌入式軟體工程師,待遇面議,喬山健康科技股份有限公司,8000人,2年以上,Linux、Android、C++、Java、JavaScript,育樂用品製造業,台中
10/23更新,"Business Development & Marketing Specialist (East Java, Indonesia)",待遇面議,東元電機股份有限公司,2500人,4年以上,不拘,電力機械器材製造修配業,其他
09/21更新,"System Analyst",待遇面議,保誠人壽保險股份有限公司_總公司,700人,3年以上,不拘,人身保險業,雙北
10/20更新,Android工程師(HS220218012),待遇面議,樺漢科技股份有限公司_鴻海集團,180人,2年以上,不拘,電腦及其週邊設備製造業,雙北
10/19更新,"Java Internet工程師",待遇面議,德義資訊股份有限公司,250人,1年以上,Java、JSF、JSP、JDBC、Oracle、PL/SQL、J2EE、JavaScript、XML、jQuery,電腦軟體服務業,雙北
10/26更新,"Technology Operations Engineer",待遇面議,"Nogle Taiwan Limited_諾傑股份有限公司",320人,1年以上,不拘,電腦軟體服務業,雙北
10/23更新,資訊軟體開發工程師（台北）,待遇面議,鑫潮國際股份有限公司,20人,2年以上,不拘,工商顧問服務業,雙北
10/18更新,"Technical Operations Specialist",待遇面議,"Nogle Taiwan Limited_諾傑股份有限公司",320人,1年以上,不拘,電腦軟體服務業,雙北
10/27更新,"Sr. Software Engineer - Backend (Multiple headcounts in different teams)",待遇面議,ShopBack_回饋網股份有限公司,1000人,5年以上,AWS、JavaScript、Node.js,其它軟體及網路相關業,雙北
10/26更新,"(Sr./Staff) Firmware Engineer 資深/韌體工程師_TC230079",待遇面議,"Super Micro Computer, Inc._美超微電腦股份有限公司",4000人,3年以上,Linux、Shell、C、C++,電腦及其週邊設備製造業,桃園
10/02更新,"J- 產險SW專案副理<金融資歷優先> / 台北, 本國產險",待遇面議,萬豐人力資源管理顧問有限公司,暫不提供,3年以上,UNIX、Java、Spring、PL/SQL、Sass、Angular,人力仲介代徵,雙北
10/25更新,...NET軟體工程師(內湖),"月薪42,000~50,000元",國眾電腦股份有限公司,376人,2年以上,"Servlets、ASP.NET、C++.Net、Java、JSP、Spring、MS SQL、Tomcat、HTML、JavaScript、XML、CSS",電腦系統整合服務業,雙北
10/29更新,"[遠端]前端網站軟體程式開發工程師Remote Front-end Web Software Engineer","月薪40,000~100,000元",智見科技股份有限公司,暫不提供,3年以上,不拘,多媒體相關業,雙北
10/29更新,軟體設計工程師,"月薪30,000元以上",艾立斯科技股份有限公司,30人,不拘,Java、JavaScript,電腦軟體服務業,宜蘭
10/25更新,MES工程師,待遇面議,錼創顯示科技股份有限公司,400人,1年以上,不拘,半導體製造業,新竹
10/25更新,"D4000 維運助理工程師","月薪35,000元以上",富邦媒體科技股份有限公司(富邦momo),2900人,1年以上,不拘,百貨相關業,雙北
10/18更新,"U-Software Developer (Web & Cloud)",待遇面議,緯創軟體股份有限公司,8600人,2年以上,"ASP.NET、C#、MS SQL、HTML、JavaScript、Angular",電腦軟體服務業,雙北
09/22更新,網頁全端工程師,待遇面議,萬通教育股份有限公司,250人,1年以上,Git、Java、AWS、HTML、JavaScript、jQuery、CSS、ReactJS,數位內容產業,雙北
10/23更新,"(資深) 系統維運工程師 (Senior) DevOps Engineer [RD]","年薪1,200,000~2,000,000元",酷遊天股份有限公司,900人,3年以上,不拘,旅遊服務業,雙北
10/27更新,"汽車電子 Linux BSP 軟體研發工程師_1512",待遇面議,技嘉科技股份有限公司,8000人,3年以上,Linux、Android、C、C++、Java、Excel、PowerPoint、Word,電腦及其週邊設備製造業,雙北
10/26更新,"系統開發工程師(Java/Java Script )","月薪34,000元以上",璨揚企業股份有限公司,500人,1年以上,不拘,汽車及其零件製造業,台南
09/15更新,"Android開發人員(Android Engineer)",待遇面議,口袋證券股份有限公司,94人,3年以上,Android,證券及期貨業,雙北
10/02更新,"【 Java 開發工程師 (3) 】",待遇面議,大展證券股份有限公司,100人,2年以上,Java,證券及期貨業,雙北
10/18更新,"資訊處-Open API應用設計分析師",待遇面議,永豐商業銀行股份有限公司,暫不提供,3年以上,"Linux、C、Java、MS SQL、MySQL、JavaScript",銀行業,雙北
10/04更新,產品開發工程師,待遇面議,Ragic_立即科技有限公司,50人,不拘,不拘,網際網路相關業,雙北
10/18更新,T-【2023軟體技術人才招募】網路系統工程師_人才招募,"月薪35,000~60,000元",緯創軟體股份有限公司,8600人,2年以上,不拘,電腦軟體服務業,雙北
10/03更新,【凱基銀行】信用卡發卡/收單系統程式設計師(含開發維運),待遇面議,中華開發金融控股股份有限公司(凱基證券)(凱基銀行)(中華開發資本),21864人,2年以上,"AJAX、C++.Net、Java、Visual Basic .net、MS SQL、JavaScript",金融控股業,雙北
10/11更新,端點開發工程師-1XU12R,待遇面議,智慧資安科技股份有限公司,暫不提供,3年以上,Git、C++、Java、Python,電腦系統整合服務業,雙北
10/12更新,"Android Iphone 行動電話軟體工程師",待遇面議,德義資訊股份有限公司,250人,1年以上,"Mac OS、Android、Objective-C",電腦軟體服務業,雙北
09/27更新,"憶聲集團▕  車用電子軟體研發經理",待遇面議,憶聲電子股份有限公司,300人,不拘,不拘,電腦及其週邊設備製造業,桃園
10/19更新,.Net軟體工程師-開發產險核心系統,待遇面議,一帆科技有限公司,50人,3年以上,"C#、WinForm、MS SQL",人力派遣服務,雙北
10/16更新,"【RD】軟體後端工程師 (Backend Developer)",待遇面議,科林儀器股份有限公司,500人,2年以上,Python、JavaScript、Node.js,其他醫療保健服務業,雙北
10/24更新,軟體工程師(Java),"月薪36,000元以上",億光電子工業股份有限公司,5000人,2年以上,Java、PL/SQL、Excel、PowerPoint、Word,光電產業,雙北
10/09更新,"行動系統開發工程師(Mobile System Developer)",待遇面議,鉅恒投資有限公司,100人,不拘,不拘,文教╱育樂用品批發業,台中
10/18更新,"D4000 電商營運系統JAVA開發工程師【台中】","月薪35,000元以上",富邦媒體科技股份有限公司(富邦momo),2900人,1年以上,Java、Spring、Oracle、HTML、JavaScript,百貨相關業,雙北
10/17更新,"系統分析師-Java (二年以上開發經驗)",待遇面議,艾威科軟體股份有限公司,30人,3年以上,"Git、ASP、ASP.NET、C++.Net、Java、Visual C++、Visual Studio、Visual Studio .net、MS SQL、JavaScript",電腦軟體服務業,雙北
10/11更新,APP開發與資訊系統維護人員,"月薪40,000~55,000元",遠雄航空自由貿易港區股份有限公司,500人,2年以上,不拘,倉儲業,桃園
10/02更新,"[ADN] 應用支付資安 助理工程師 (新竹)","月薪32,000~40,000元",動力安全資訊股份有限公司,300人,不拘,"Linux、Database Management",電腦系統整合服務業,雙北
10/13更新,程式設計師(高雄),待遇面議,倍力資訊股份有限公司,87人,2年以上,JavaScript、Excel、Outlook、PowerPoint、Word,電腦軟體服務業,高雄
10/20更新,JAVA軟體工程師(金融產品),"月薪28,000元以上",凌群電腦股份有限公司,1100人,不拘,Java、JavaScript,電腦系統整合服務業,雙北
10/27更新,中階後台微服務研發工程師(Java),"年薪1,000,000元以上",華玉科技股份有限公司,暫不提供,5年以上,Linux、UML、Git、Java、Spring、HTML、JavaScript、Socket、Junit,電腦軟體服務業,雙北
10/18更新,T-【2023軟體技術人才招募】系統分析師SA_人才招募,待遇面議,緯創軟體股份有限公司,8600人,不拘,不拘,電腦軟體服務業,雙北
10/18更新,"(LINE Bank) Core-Banking System Analyst_核心系統分析師",待遇面議,"LINE Bank_連線商業銀行股份有限公司",暫不提供,3年以上,Java,網際網路相關業,雙北
10/25更新,"【數位技術】CIM MES工程師-龍科廠-R66",待遇面議,友達光電股份有限公司,38000人,不拘,MySQL、Oracle,光學器材製造業,桃園
10/24更新,"F0030 - Android firmware engineer",待遇面議,優比快股份有限公司,300人,不拘,C,電子通訊／電腦週邊批發業,雙北
10/23更新,C.顧問類-資深工程師,待遇面議,資誠企業管理顧問股份有限公司,暫不提供,2年以上,Java,電腦軟體服務業,雙北
10/27更新,"資深後端技術工程師 (高雄/台中)","月薪50,000元以上",石敢當科技股份有限公司,30人,3年以上,不拘,數位內容產業,高雄
10/18更新,"Staff  RF Test Engineer - CCS MSBU",待遇面議,"Molex Taiwan Ltd._台灣莫仕股份有限公司",530人,5年以上,"Excel、Outlook、PowerPoint、Word、CAM、CMP化學機械研磨技術、Flip Chip構裝製程、PCBA、SMT",電腦及其週邊設備製造業,新竹
10/27更新,"Android Developer 安卓App軟體工程師 (台中)","月薪48,000~55,000元",微碧愛普科技有限公司,38人,2年以上,不拘,電腦軟體服務業,雙北
10/25更新,系統開發工程師_12641,"月薪30,000~51,000元",和碩集團_和碩聯合科技股份有限公司,6000人,不拘,ASP.NET、C#、Java、PHP、MySQL、HTML、JavaScript、XML、CSS,電腦及其週邊設備製造業,雙北
10/21更新,"AI軟體工程師 AI Software Engineer (Data Science & AI Team)",待遇面議,鴻海精密工業股份有限公司,暫不提供,5年以上,不拘,消費性電子產品製造業,雙北
10/24更新,集團MES系統開發維護儲備工程師,"月薪27,000~30,000元",薩摩亞商志強國際企業股份有限公司台灣分公司,30000人,不拘,"ASP.NET、C#、PL/SQL、Web Master/Developer、SOAP、MES",鞋類製造業,台中
10/25更新,"軟體工程師,前端工程師,後端工程師","月薪53,000元以上",アイシン株式会社,40人,1年以上,"Linux、AJAX、ASP.NET、C、C#、C++、Java、JSP、PHP、Python、Spring、Struts、JDBC、MS SQL、MySQL、Oracle、HTML、J2EE、JavaScript、XML、jQuery、CSS、Node.js、ReactJS、AngularJS、VueJS",網際網路相關業,其他
10/19更新,高級軟體研發工程師,待遇面議,精品科技股份有限公司,90人,3年以上,"Github、C、C#、C++、COM/DCOM、Delphi、Java、MFC、Visual Studio .net、Win32、Go、MS SQL、HTML、JavaScript、jQuery、CSS、Sass、AngularJS、D3.js、Angular",電腦軟體服務業,新竹
09/19更新,"【IT】Android Camera (JAVA) 工程師 (新竹)(新竹科學園區)",待遇面議,智聯服務股份有限公司,400人,1年以上,Android、Java、Python,電腦系統整合服務業,新竹
07/17更新,資訊工程師,待遇面議,中福營造股份有限公司,暫不提供,5年以上,"C#、Java、MS SQL",建築工程業,雙北
10/12更新,Java網站後端工程師-(PG)-智慧物聯部(IAD80),待遇面議,資拓宏宇國際股份有限公司,1500人,1年以上,"Git、Java、RMI、Spring、MS SQL、Oracle",電腦軟體服務業,雙北
10/04更新,軟韌體開發工程師,"月薪68,000元以上",君曜科技股份有限公司,20人,不拘,C,IC設計相關業,新竹
10/11更新,"研發類-韌體工程師 Android BSP Engineer (MPBG)",待遇面議,中強光電股份有限公司,11313人,7年以上,不拘,光電產業,新竹
09/20更新,"資深後端工程師（Backend Engineer）","月薪50,000~100,000元",貝殼放大股份有限公司,120人,3年以上,不拘,工商顧問服務業,雙北
10/12更新,【凱基銀行/資訊處/數位應用系統部】系統分析師,待遇面議,中華開發金融控股股份有限公司(凱基證券)(凱基銀行)(中華開發資本),21864人,3年以上,不拘,金融控股業,雙北
09/28更新,"(SW) Monitor Android軟/韌體研發工程師(限5年以下工作經驗者)",待遇面議,嘉捷科技企業股份有限公司,1600人,不拘,C、Android、Linux、Java,消費性電子產品製造業,雙北
10/25更新,"L- ERP 開發工程師",待遇面議,緯創軟體股份有限公司,8600人,2年以上,不拘,電腦軟體服務業,雙北
10/25更新,全時約聘_工研院資通所_混合實境應用平台系統工程師(V3),"月薪32,000~55,000元","工研院 _財團法人工業技術研究院",6000人,不拘,不拘,其他專業／科學及技術業,新竹
10/25更新,網頁程式設計師-F61R,"月薪35,000~45,000元",精誠資訊股份有限公司,4200人,不拘,"Java、MS SQL、HTML、JavaScript、CSS、Angular",電腦系統整合服務業,雙北
10/23更新,"應用系統解決方案顧問 (AP Presales)",待遇面議,聯合通商電子商務股份有限公司,100人,5年以上,Excel、PowerPoint、Word,電腦軟體服務業,雙北
10/26更新,"Native APP開發工程師",待遇面議,網際威信股份有限公司,200人,1年以上,Android、Java、Objective-C、JavaScript、jQuery、CSS,電腦系統整合服務業,雙北
10/25更新,全端工程師,待遇面議,住商連鎖加盟總部_住商實業股份有限公司,65人,不拘,"AJAX、ASP、ASP.NET、C#、Visual Basic .net、Visual C#、Visual Studio、Visual Studio .net、MS SQL、JavaScript、jQuery、ReactJS、VueJS、Angular",不動產經營業,雙北
10/02更新,Java遊戲伺服器開發工程師,待遇面議,鏈星築夢有限公司,16人,3年以上,C#、Java、TCP/IP,電腦軟體服務業,雙北
10/11更新,後端軟體工程師,"月薪35,000~100,000元",光子網絡科技有限公司,40人,3年以上,Linux、Java、Spring、MySQL,數位內容產業,高雄
07/07更新,【Java】軟體程式開發設計工程師,"月薪60,000~130,000元","株式會社Oriental kingdom group",10人,2年以上,Java、JavaScript,電腦軟體服務業,其他
10/24更新,"【南】QA Engineer｜測試工程師",待遇面議,大門科技顧問有限公司,50人,2年以上,不拘,電腦軟體服務業,高雄
06/28更新,"JAVA 程式開發工程師",待遇面議,藍科數位科技股份有限公司,50人,2年以上,"Linux、Java、JSP、Spring、Struts、DB2、MS SQL、Oracle、Tomcat、HTML、J2EE、J2SE、JavaScript、XML、jQuery",電腦軟體服務業,雙北
10/16更新,【中租超利士】後端程式設計師,待遇面議,中租控股_中租迪和股份有限公司,2000人,不拘,"ASP.NET、C#、Visual Basic .net、MS SQL、Oracle、JavaScript",其他金融及輔助業,雙北
