職缺更新時間,職缺名稱,工作待遇,公司名稱,員工人數,工作經歷,擅長工具,產業類別,上班地點
10/20更新,"Java 助理工程師","月薪28,000~35,000元",隼征股份有限公司,暫不提供,不拘,不拘,電腦軟體服務業,雙北
10/24更新,"JAVA - 工程師",待遇面議,汎神國際有限公司,20人,2年以上,Linux、Git、Java、Spring、Struts、HTML、JavaScript、VueJS,電腦系統整合服務業,雙北
10/26更新,資深JAVA程式設計師,待遇面議,中國人壽保險股份有限公司(總公司),13539人,5年以上,不拘,人身保險業,雙北
08/09更新,"Java 軟體設計工程師-台中",待遇面議,貴思科技有限公司,暫不提供,不拘,Java,電腦軟體服務業,台中
03/29更新,JAVA軟體工程師,"月薪30,000~45,000元",普頓數位科技有限公司,220人,不拘,Java,其他機械製造修配業,雙北
09/28更新,"Programmer (Java Web/SPA/Mobile)",待遇面議,科熱臺灣有限公司,暫不提供,1年以上,"Git、AJAX、Java、JSP、Spring、Struts、ANSI SQL、HTML、J2EE、JavaScript、CSS、ReactNative、ReactJS、VueJS",電腦軟體服務業,雙北
10/09更新,《數位開發》資深Java後端開發工程師,"月薪55,000~100,000元",裕隆集團_格上汽車租賃股份有限公司,650人,3年以上,Java,運輸工具設備租賃業,雙北
10/24更新,"Java程式設計師-電商領域 (TCD22)",待遇面議,資拓宏宇國際股份有限公司,1500人,1年以上,Linux、Java、MySQL、Oracle,電腦軟體服務業,雙北
09/15更新,"Backend Engineer 後端工程師 (Java為主)","月薪60,000元以上",新加坡商盟運創新有限公司台灣分公司,暫不提供,不拘,Java、Spring、MySQL,電腦軟體服務業,雙北
08/03更新,"Senior JAVA 工程師",待遇面議,里格科技有限公司,暫不提供,3年以上,Linux、Git、Java、Spring、MySQL,電腦軟體服務業,雙北
10/13更新,【PayEasy】JAVA程式設計師_1997,待遇面議,PayEasy_康迅數位整合股份有限公司,110人,1年以上,Java、Spring、JavaScript、jQuery、CSS,網際網路相關業,雙北
10/20更新,Java工程師-台北,待遇面議,凌網科技股份有限公司,350人,3年以上,"Linux、Java、MS SQL、MySQL、Oracle、JavaScript",電腦系統整合服務業,雙北
10/18更新,Java高階工程師,"月薪80,000~120,000元",尤米爾科技有限公司,暫不提供,2年以上,Git、Java、Spring、MySQL,電腦軟體服務業,雙北
